Type,Value
BOOT TIME, 882
MISURATION, 7355
WIFI TURNED ON, 17753524
MESSAGE SENT, 18753063
WIFI TURNED OFF, 18758261
BOOT TIME, 929
MISURATION, 7365
WIFI TURNED ON, 190376
MESSAGE SENT, 1190065
WIFI TURNED OFF, 1195263
BOOT TIME, 928
MISURATION, 7401
WIFI TURNED ON, 8638743
MESSAGE SENT, 9638282
WIFI TURNED OFF, 9644479
BOOT TIME, 883
MISURATION, 7355
WIFI TURNED ON, 9807357
MESSAGE SENT, 10806896
WIFI TURNED OFF, 10812093
BOOT TIME, 883
MISURATION, 7355
WIFI TURNED ON, 45774719
MESSAGE SENT, 46774255
WIFI TURNED OFF, 46780452
BOOT TIME, 929
MISURATION, 7401
WIFI TURNED ON, 2947434
MESSAGE SENT, 3946973
WIFI TURNED OFF, 3953170
BOOT TIME, 929
MISURATION, 7401
WIFI TURNED ON, 1237670
MESSAGE SENT, 2237209
WIFI TURNED OFF, 2243407
BOOT TIME, 886
MISURATION, 7356
WIFI TURNED ON, 190526
MESSAGE SENT, 1190065
WIFI TURNED OFF, 1196262
BOOT TIME, 882
MISURATION, 7355
WIFI TURNED ON, 7641996
MESSAGE SENT, 8641532
WIFI TURNED OFF, 8647729
BOOT TIME, 910
MISURATION, 7360
WIFI TURNED ON, 190529
MESSAGE SENT, 1190065
WIFI TURNED OFF, 1196263
BOOT TIME, 882
MISURATION, 7355
WIFI TURNED ON, 44223698
MESSAGE SENT, 49752551
WIFI TURNED OFF, 49757748
BOOT TIME, 826
MISURATION, 7298
WIFI TURNED ON, 190150
MESSAGE SENT, 1189689
WIFI TURNED OFF, 1195887
BOOT TIME, 892
MISURATION, 7348
WIFI TURNED ON, 190760
MESSAGE SENT, 1190476
WIFI TURNED OFF, 1195673
BOOT TIME, 785
MISURATION, 7260
WIFI TURNED ON, 190004
MESSAGE SENT, 1189688
WIFI TURNED OFF, 1194885
BOOT TIME, 882
MISURATION, 7384
WIFI TURNED ON, 190833
MESSAGE SENT, 1190370
WIFI TURNED OFF, 1196567
BOOT TIME, 882
MISURATION, 7349
WIFI TURNED ON, 190526
MESSAGE SENT, 1190065
WIFI TURNED OFF, 1196262
BOOT TIME, 882
MISURATION, 7355
WIFI TURNED ON, 17947650
MESSAGE SENT, 18947334
WIFI TURNED OFF, 18952531
BOOT TIME, 882
MISURATION, 7355
WIFI TURNED ON, 78761749
MESSAGE SENT, 79761769
WIFI TURNED OFF, 79767966
BOOT TIME, 882
MISURATION, 7382
WIFI TURNED ON, 190833
MESSAGE SENT, 1190370
WIFI TURNED OFF, 1196567
BOOT TIME, 885
MISURATION, 7332
WIFI TURNED ON, 190633
MESSAGE SENT, 1190170
WIFI TURNED OFF, 1196367
BOOT TIME, 885
MISURATION, 7332
WIFI TURNED ON, 190634
MESSAGE SENT, 1190170
WIFI TURNED OFF, 1196394
BOOT TIME, 871
MISURATION, 7316
WIFI TURNED ON, 190850
MESSAGE SENT, 1190387
WIFI TURNED OFF, 1196584
BOOT TIME, 883
MISURATION, 7355
WIFI TURNED ON, 27606142
MESSAGE SENT, 28605859
WIFI TURNED OFF, 28611056
